ride_id,customer_id,driver_id,pickup_location,drop_location,pickup_time,drop_time,fare,ride_status,vehicle_id,customer_name,phone,city,driver_name,rating,status_y,payment_id,amount,payment_method,payment_date,payment_status,vehicle_type,vehicle_number,ride_location,hour,ride_duration
24,18,48,Kothrud,Baner,2024-02-01 23:00:00,2024-02-01 23:20:00,492.65,completed,24,Pratik Inamdar,7003344769,Delhi,Lalit Patne,4.98,active,24,195.15,Cash,2024-01-24,pending,Mini,MH12AB1023,0 days 00:20:00,23,0 days 00:20:00
25,89,8,Shivajinagar,Baner,2024-02-02 00:00:00,2024-02-02 00:20:00,347.84,driver_cancelled,25,Tejal Karandikar,8669356239,Mumbai,Sanjay Gaikwad,4.53,active,25,431.9,Cash,2024-01-25,success,Sedan,MH12AB1024,0 days 00:20:00,0,0 days 00:20:00
25,89,8,Shivajinagar,Baner,2024-02-02 00:00:00,2024-02-02 00:20:00,347.84,driver_cancelled,25,Tejal Karandikar,8669356239,Mumbai,Sanjay Gaikwad,4.53,active,33,86.72,Card,2024-02-02,success,Sedan,MH12AB1024,0 days 00:20:00,0,0 days 00:20:00
26,88,18,Baner,Shivajinagar,2024-02-02 01:00:00,2024-02-02 01:20:00,386.75,completed,26,Siddharth Karve,8397283111,Bangalore,Hanumant Pujari,3.76,active,26,111.48,Card,2024-01-26,success,SUV,MH12AB1025,0 days 00:20:00,1,0 days 00:20:00
27,70,21,Baner,Baner,2024-02-02 02:00:00,2024-02-02 02:20:00,411.11,completed,27,Zubair Momin,9845511527,Pune,Kailas Gawade,4.45,active,27,369.01,Cash,2024-01-27,success,Sedan,MH12AB1026,0 days 00:20:00,2,0 days 00:20:00
28,98,46,Hinjewadi,Wakad,2024-02-02 03:00:00,2024-02-02 03:20:00,304.83,cancelled,28,Tanmay Barve,7605264936,Bangalore,Jeevan Chougule,3.88,active,28,298.77,Card,2024-01-28,success,Sedan,MH12AB1027,0 days 00:20:00,3,0 days 00:20:00
29,51,13,Shivajinagar,Hinjewadi,2024-02-02 04:00:00,2024-02-02 04:20:00,280.38,completed,29,Dipali Wadkar,7056972561,Mumbai,Chetan Thorat,4.16,active,29,183.43,UPI,2024-01-29,failed,Mini,MH12AB1028,0 days 00:20:00,4,0 days 00:20:00
30,3,27,Baner,Hinjewadi,2026-04-01 12:33:10,,427.2,ongoing,30,Rahul Deshmukh,9571218620,Delhi,Qasim Pathan,4.04,active,30,238.9,Card,2024-01-30,processing,SUV,MH12AB1029,,12,
31,19,47,Baner,Wakad,2024-02-02 06:00:00,2024-02-02 06:20:00,253.58,completed,31,Neha Wagh,7780932287,Pune,Kiran Parab,4.22,active,31,165.29,Card,2024-01-31,success,Auto,MH12AB1030,0 days 00:20:00,6,0 days 00:20:00
32,47,40,Baner,Hinjewadi,2024-02-02 07:00:00,2024-02-02 07:20:00,448.05,completed,32,Zeenat Shaikh,9921898630,Mumbai,Datta Barve,4.25,active,45,197.67,Cash,2024-02-14,processing,Auto,MH12AB1031,0 days 00:20:00,7,0 days 00:20:00
33,46,16,Shivajinagar,Baner,2024-02-02 08:00:00,2024-02-02 08:20:00,592.24,completed,33,Yogesh Jagtap,9609385266,Delhi,Firoz Shaikh,4.61,active,46,119.77,UPI,2024-02-15,success,Mini,MH12AB1032,0 days 00:20:00,8,0 days 00:20:00
34,58,40,Baner,Baner,2024-02-02 09:00:00,2024-02-02 09:20:00,596.04,completed,34,Kunal Karandikar,9938758483,Delhi,Datta Barve,4.25,active,47,491.83,UPI,2024-02-16,success,Mini,MH12AB1033,0 days 00:20:00,9,0 days 00:20:00
35,36,9,Wakad,Wakad,2024-02-02 10:00:00,2024-02-02 10:20:00,271.86,cancelled,35,Laxman Morey,7999745294,Pune,Nitin Bhosale,4.22,inactive,48,427.52,Card,2024-02-17,pending,SUV,MH12AB1034,0 days 00:20:00,10,0 days 00:20:00
36,19,27,Wakad,Kothrud,2024-02-02 11:00:00,2024-02-02 11:20:00,224.64,completed,36,Neha Wagh,7780932287,Pune,Qasim Pathan,4.04,active,49,437.18,UPI,2024-02-18,success,Auto,MH12AB1035,0 days 00:20:00,11,0 days 00:20:00
37,92,17,Baner,Wakad,2024-02-02 12:00:00,2024-02-02 12:20:00,368.09,completed,37,Yash Vartak,9520077079,Mumbai,Ganpat Kamble,3.77,active,50,162.61,Card,2024-02-19,success,Auto,MH12AB1036,0 days 00:20:00,12,0 days 00:20:00
38,47,3,Kothrud,Wakad,2024-02-02 13:00:00,2024-02-02 13:20:00,243.42,completed,38,Zeenat Shaikh,9921898630,Mumbai,Dilip Deshmukh,3.84,active,51,67.48,UPI,2024-02-20,success,Auto,MH12AB1037,0 days 00:20:00,13,0 days 00:20:00
39,55,4,Shivajinagar,Shivajinagar,2024-02-02 14:00:00,2024-02-02 14:20:00,508.93,completed,39,Hema Bhave,7068574553,Delhi,Ramesh Kulkarni,4.33,active,52,186.47,Cash,2024-02-21,success,Sedan,MH12AB1038,0 days 00:20:00,14,0 days 00:20:00
40,74,40,Hinjewadi,Shivajinagar,2024-02-02 15:00:00,,558.19,ongoing,40,Deepak Pawaskar,7893102645,Pune,Datta Barve,4.25,active,53,291.69,Card,2024-02-22,success,Auto,MH12AB1039,,15,
41,82,1,Kothrud,Kothrud,2024-02-02 16:00:00,2024-02-02 16:20:00,446.28,completed,41,Lokesh Wankhede,8402481934,Pune,Santosh Pawar,4.54,active,54,196.99,Card,2024-02-23,success,Sedan,MH12AB1040,0 days 00:20:00,16,0 days 00:20:00
42,63,14,Wakad,Wakad,2024-02-02 17:00:00,2024-02-02 17:20:00,465.52,cancelled,42,Pallavi Chougule,9619915691,Pune,Dhanraj Gite,3.59,active,55,422.54,Cash,2024-02-24,success,SUV,MH12AB1041,0 days 00:20:00,17,0 days 00:20:00
43,68,8,Shivajinagar,Shivajinagar,2024-02-02 18:00:00,2024-02-02 18:20:00,294.7,completed,43,Vijay Tare,8111451555,Pune,Sanjay Gaikwad,4.53,active,56,172.19,Card,2024-02-25,success,Sedan,MH12AB1042,0 days 00:20:00,18,0 days 00:20:00
44,12,7,Hinjewadi,Wakad,2024-02-02 19:00:00,2024-02-02 19:20:00,116.45,completed,44,Tejas Bhosale,9581769315,Delhi,Pravin Chavan,4.97,active,57,484.36,Card,2024-02-26,success,SUV,MH12AB1043,0 days 00:20:00,19,0 days 00:20:00
45,27,30,Wakad,Kothrud,2026-04-01 12:33:10,2024-02-02 20:20:00,518.7,booked,45,Bhakti Sawant,7099052376,Bangalore,Tukaram Ghodke,4.45,active,58,255.77,UPI,2024-02-27,success,Auto,MH12AB1044,-789 days +07:46:50,12,-789 days +07:46:50
46,93,25,Baner,Shivajinagar,2024-02-02 21:00:00,2024-02-02 21:20:00,363.54,completed,46,Zaid Shaikh,8532243865,Pune,Omprakash Gavhane,4.58,active,59,428.91,Card,2024-02-28,success,Auto,MH12AB1045,0 days 00:20:00,21,0 days 00:20:00
47,76,39,Baner,Shivajinagar,2024-02-02 22:00:00,2024-02-02 22:20:00,403.4,completed,47,Farhan Pathan,9438254339,Delhi,Chandrakant More,4.92,active,60,137.47,Cash,2024-02-29,processing,SUV,MH12AB1046,0 days 00:20:00,22,0 days 00:20:00
48,11,16,Hinjewadi,Hinjewadi,2024-02-02 23:00:00,2024-02-02 23:20:00,421.39,completed,48,Swapnil Patwardhan,8433267572,Delhi,Firoz Shaikh,4.61,active,61,235.11,UPI,2024-03-01,success,Mini,MH12AB1047,0 days 00:20:00,23,0 days 00:20:00
49,4,11,Shivajinagar,Baner,2024-02-03 00:00:00,2024-02-03 00:20:00,373.14,cancelled,49,Priya Kulkarni,9563451924,Pune,Anand Mane,4.01,active,34,52.33,Cash,2024-02-03,success,SUV,MH12AB1048,0 days 00:20:00,0,0 days 00:20:00
49,4,11,Shivajinagar,Baner,2024-02-03 00:00:00,2024-02-03 00:20:00,373.14,cancelled,49,Priya Kulkarni,9563451924,Pune,Anand Mane,4.01,active,62,364.78,UPI,2024-03-02,success,SUV,MH12AB1048,0 days 00:20:00,0,0 days 00:20:00
50,46,25,Hinjewadi,Wakad,2024-02-03 01:00:00,,85.08,ongoing,50,Yogesh Jagtap,9609385266,Delhi,Omprakash Gavhane,4.58,active,63,112.26,Cash,2024-03-03,success,Mini,MH12AB1049,,1,
51,59,33,Hinjewadi,Kothrud,2024-02-03 02:00:00,2024-02-03 02:20:00,195.19,completed,1,Lalit Bhadane,8035196507,Delhi,Waseem Shaikh,4.15,active,64,109.74,Cash,2024-03-04,success,SUV,MH12AB1000,0 days 00:20:00,2,0 days 00:20:00
52,60,48,Kothrud,Wakad,2024-02-03 03:00:00,2024-02-03 03:20:00,183.14,completed,2,Meghana Sathe,8890440558,Mumbai,Lalit Patne,4.98,active,65,486.29,UPI,2024-03-05,success,SUV,MH12AB1001,0 days 00:20:00,3,0 days 00:20:00
53,24,21,Baner,Wakad,2024-02-03 04:00:00,2024-02-03 04:20:00,308.06,completed,3,Abhijeet Khare,9253811733,Bangalore,Kailas Gawade,4.45,active,66,371.57,Card,2024-03-06,success,Mini,MH12AB1002,0 days 00:20:00,4,0 days 00:20:00
54,26,10,Baner,Wakad,2024-02-03 05:00:00,2024-02-03 05:20:00,446.36,completed,4,Amol Gokhale,8855189739,Pune,Vishal Patil,4.09,active,67,68.48,UPI,2024-03-07,failed,Auto,MH12AB1003,0 days 00:20:00,5,0 days 00:20:00
55,28,50,Wakad,Kothrud,2024-02-03 06:00:00,2024-02-03 06:20:00,497.79,completed,5,Chaitanya Kshirsagar,8250819632,Bangalore,Nilesh Pargaonkar,4.42,active,68,229.47,Cash,2024-03-08,success,SUV,MH12AB1004,0 days 00:20:00,6,0 days 00:20:00
56,58,9,Kothrud,Baner,2024-02-03 07:00:00,2024-02-03 07:20:00,530.49,cancelled,6,Kunal Karandikar,9938758483,Delhi,Nitin Bhosale,4.22,inactive,69,245.08,UPI,2024-03-09,success,Mini,MH12AB1005,0 days 00:20:00,7,0 days 00:20:00
57,4,1,Baner,Wakad,2024-02-03 08:00:00,2024-02-03 08:20:00,299.9,completed,7,Priya Kulkarni,9563451924,Pune,Santosh Pawar,4.54,active,70,384.82,Cash,2024-03-10,success,Auto,MH12AB1006,0 days 00:20:00,8,0 days 00:20:00
58,100,34,Kothrud,Shivajinagar,2024-02-03 09:00:00,2024-02-03 09:20:00,328.19,completed,8,Vivek Jadhav,7709816108,Bangalore,Xavier Dsouza,4.24,active,71,162.89,UPI,2024-03-11,success,Sedan,MH12AB1007,0 days 00:20:00,9,0 days 00:20:00
59,79,31,Shivajinagar,Hinjewadi,2024-02-03 10:00:00,2024-02-03 10:20:00,287.26,completed,9,Isha Deshpande,8931679275,Delhi,Umesh Shirole,3.64,active,72,132.95,Card,2024-03-12,pending,Mini,MH12AB1008,0 days 00:20:00,10,0 days 00:20:00
60,86,21,Kothrud,Baner,2026-04-01 12:33:10,,118.36,ongoing,10,Prashant Dighe,9236966139,Delhi,Kailas Gawade,4.45,active,73,86.39,UPI,2024-03-13,success,SUV,MH12AB1009,,12,
61,60,24,Baner,Baner,2024-02-03 12:00:00,2024-02-03 12:20:00,224.47,completed,11,Meghana Sathe,8890440558,Mumbai,Narayan Bhujbal,4.42,active,74,242.74,UPI,2024-03-14,success,Sedan,MH12AB1010,0 days 00:20:00,12,0 days 00:20:00
62,49,19,Hinjewadi,Wakad,2024-02-03 13:00:00,2024-02-03 13:20:00,275.51,completed,12,Bhushan Rane,8934879560,Pune,Imran Momin,4.3,active,75,359.82,Cash,2024-03-15,processing,Sedan,MH12AB1011,0 days 00:20:00,13,0 days 00:20:00
63,57,48,Shivajinagar,Kothrud,2024-02-03 14:00:00,2024-02-03 14:20:00,184.44,cancelled,13,Jagruti Mahajan,7991681409,Pune,Lalit Patne,4.98,active,76,76.19,Cash,2024-03-16,success,Sedan,MH12AB1012,0 days 00:20:00,14,0 days 00:20:00
64,88,21,Shivajinagar,Baner,2024-02-03 15:00:00,2024-02-03 15:20:00,398.04,completed,14,Siddharth Karve,8397283111,Bangalore,Kailas Gawade,4.45,active,77,461.85,Cash,2024-03-17,success,Mini,MH12AB1013,0 days 00:20:00,15,0 days 00:20:00
65,88,25,Baner,Hinjewadi,2024-02-03 16:00:00,2024-02-03 16:20:00,539.65,completed,15,Siddharth Karve,8397283111,Bangalore,Omprakash Gavhane,4.58,active,78,249.06,UPI,2024-03-18,success,SUV,MH12AB1014,0 days 00:20:00,16,0 days 00:20:00
66,5,20,Kothrud,Hinjewadi,2024-02-03 17:00:00,2024-02-03 17:20:00,501.08,completed,16,Sneha Joshi,7670094950,Bangalore,Jagdish Kadam,4.3,active,79,157.9,Card,2024-03-19,success,Sedan,MH12AB1015,0 days 00:20:00,17,0 days 00:20:00
67,70,26,Hinjewadi,Kothrud,2024-02-03 18:00:00,2024-02-03 18:20:00,375.64,completed,17,Zubair Momin,9845511527,Pune,Pandurang Bendre,3.98,active,80,92.24,Cash,2024-03-20,refunded,Auto,MH12AB1016,0 days 00:20:00,18,0 days 00:20:00
68,57,7,Baner,Wakad,2024-02-03 19:00:00,2024-02-03 19:20:00,459.38,completed,18,Jagruti Mahajan,7991681409,Pune,Pravin Chavan,4.97,active,81,132.29,Cash,2024-03-21,success,Sedan,MH12AB1017,0 days 00:20:00,19,0 days 00:20:00
69,61,3,Shivajinagar,Hinjewadi,2024-02-03 20:00:00,2024-02-03 20:20:00,334.29,completed,19,Nandini Thatte,9934594491,Mumbai,Dilip Deshmukh,3.84,active,82,470.58,UPI,2024-03-22,failed,Sedan,MH12AB1018,0 days 00:20:00,20,0 days 00:20:00
70,10,40,Shivajinagar,Shivajinagar,2024-02-03 21:00:00,,333.95,ongoing,20,Kiran Mane,8972458954,Delhi,Datta Barve,4.25,active,83,337.22,Cash,2024-03-23,success,Mini,MH12AB1019,,21,
71,67,48,Shivajinagar,Hinjewadi,2024-02-03 22:00:00,2024-02-03 22:20:00,414.5,completed,21,Umesh Pargaonkar,8679592528,Delhi,Lalit Patne,4.98,active,84,282.51,Card,2024-03-24,pending,Mini,MH12AB1020,0 days 00:20:00,22,0 days 00:20:00
72,34,8,Shivajinagar,Baner,2024-02-03 23:00:00,2024-02-03 23:20:00,495.06,completed,22,Jayesh Tamboli,8254751707,Mumbai,Sanjay Gaikwad,4.53,active,85,345.7,Card,2024-03-25,success,SUV,MH12AB1021,0 days 00:20:00,23,0 days 00:20:00
73,70,30,Shivajinagar,Wakad,2024-02-04 00:00:00,2024-02-04 00:20:00,521.46,completed,23,Zubair Momin,9845511527,Pune,Tukaram Ghodke,4.45,active,35,332.55,Cash,2024-02-04,success,Auto,MH12AB1022,0 days 00:20:00,0,0 days 00:20:00
73,70,30,Shivajinagar,Wakad,2024-02-04 00:00:00,2024-02-04 00:20:00,521.46,completed,23,Zubair Momin,9845511527,Pune,Tukaram Ghodke,4.45,active,86,246.05,Cash,2024-03-26,success,Auto,MH12AB1022,0 days 00:20:00,0,0 days 00:20:00
74,10,11,Kothrud,Baner,2024-02-04 01:00:00,2024-02-04 01:20:00,510.74,completed,24,Kiran Mane,8972458954,Delhi,Anand Mane,4.01,active,87,378.52,Cash,2024-03-27,success,Mini,MH12AB1023,0 days 00:20:00,1,0 days 00:20:00
75,80,8,Hinjewadi,Hinjewadi,2026-04-01 12:33:10,2024-02-04 02:20:00,284.82,booked,25,Jitesh Chitale,8697157321,Pune,Sanjay Gaikwad,4.53,active,88,71.47,UPI,2024-03-28,success,Sedan,MH12AB1024,-788 days +13:46:50,12,-788 days +13:46:50
76,29,37,Kothrud,Kothrud,2024-02-04 03:00:00,2024-02-04 03:20:00,487.68,completed,26,Dnyaneshwari Jagtap,9253890010,Mumbai,Ajay Phadke,4.14,active,89,304.72,Card,2024-03-29,success,SUV,MH12AB1025,0 days 00:20:00,3,0 days 00:20:00
77,67,17,Hinjewadi,Baner,2024-02-04 04:00:00,2024-02-04 04:20:00,315.92,cancelled,27,Umesh Pargaonkar,8679592528,Delhi,Ganpat Kamble,3.77,active,90,121.39,Card,2024-03-30,processing,Sedan,MH12AB1026,0 days 00:20:00,4,0 days 00:20:00
78,11,8,Kothrud,Baner,2024-02-04 05:00:00,2024-02-04 05:20:00,287.21,completed,28,Swapnil Patwardhan,8433267572,Delhi,Sanjay Gaikwad,4.53,active,91,104.07,Cash,2024-03-31,success,Sedan,MH12AB1027,0 days 00:20:00,5,0 days 00:20:00
79,4,47,Baner,Kothrud,2024-02-04 06:00:00,2024-02-04 06:20:00,590.63,completed,29,Priya Kulkarni,9563451924,Pune,Kiran Parab,4.22,active,92,203.85,UPI,2024-04-01,success,Mini,MH12AB1028,0 days 00:20:00,6,0 days 00:20:00
80,49,44,Shivajinagar,Shivajinagar,2024-02-04 07:00:00,,121.68,ongoing,30,Bhushan Rane,8934879560,Pune,Harish Karmarkar,4.12,active,93,91.31,Card,2024-04-02,success,SUV,MH12AB1029,,7,
81,4,30,Baner,Hinjewadi,2024-02-04 08:00:00,2024-02-04 08:20:00,301.18,completed,31,Priya Kulkarni,9563451924,Pune,Tukaram Ghodke,4.45,active,94,92.37,Card,2024-04-03,success,Auto,MH12AB1030,0 days 00:20:00,8,0 days 00:20:00
82,24,43,Hinjewadi,Kothrud,2024-02-04 09:00:00,2024-02-04 09:20:00,571.88,completed,32,Abhijeet Khare,9253811733,Bangalore,Gajanan Sathe,3.98,active,95,190.14,UPI,2024-04-04,success,Auto,MH12AB1031,0 days 00:20:00,9,0 days 00:20:00
83,92,43,Hinjewadi,Kothrud,2024-02-04 10:00:00,2024-02-04 10:20:00,454.86,completed,33,Yash Vartak,9520077079,Mumbai,Gajanan Sathe,3.98,active,96,490.78,UPI,2024-04-05,pending,Mini,MH12AB1032,0 days 00:20:00,10,0 days 00:20:00
84,56,16,Wakad,Wakad,2024-02-04 11:00:00,2024-02-04 11:20:00,313.73,cancelled,34,Indrajeet Raut,7419498548,Delhi,Firoz Shaikh,4.61,active,97,128.9,Card,2024-04-06,success,Mini,MH12AB1033,0 days 00:20:00,11,0 days 00:20:00
85,35,4,Shivajinagar,Baner,2024-02-04 12:00:00,2024-02-04 12:20:00,224.02,completed,35,Kavita Bagul,8573512143,Bangalore,Ramesh Kulkarni,4.33,active,98,57.72,Card,2024-04-07,success,SUV,MH12AB1034,0 days 00:20:00,12,0 days 00:20:00
86,38,21,Shivajinagar,Hinjewadi,2024-02-04 13:00:00,2024-02-04 13:20:00,80.2,completed,36,Nilesh Kharat,7389151677,Bangalore,Kailas Gawade,4.45,active,99,393.51,UPI,2024-04-08,success,Auto,MH12AB1035,0 days 00:20:00,13,0 days 00:20:00
87,50,50,Hinjewadi,Kothrud,2024-02-04 14:00:00,2024-02-04 14:20:00,389.59,completed,37,Chetan Pansare,7279394470,Pune,Nilesh Pargaonkar,4.42,active,100,413.11,Card,2024-04-09,refunded,Auto,MH12AB1036,0 days 00:20:00,14,0 days 00:20:00
88,88,34,Wakad,Hinjewadi,2024-02-04 15:00:00,2024-02-04 15:20:00,158.92,completed,38,Siddharth Karve,8397283111,Bangalore,Xavier Dsouza,4.24,active,101,205.84,Cash,2024-04-10,success,Auto,MH12AB1037,0 days 00:20:00,15,0 days 00:20:00
89,86,40,Shivajinagar,Baner,2024-02-04 16:00:00,2024-02-04 16:20:00,240.97,completed,39,Prashant Dighe,9236966139,Delhi,Datta Barve,4.25,active,102,259.1,Cash,2024-04-11,success,Sedan,MH12AB1038,0 days 00:20:00,16,0 days 00:20:00
90,26,35,Shivajinagar,Baner,2026-04-01 12:33:10,,292.92,ongoing,40,Amol Gokhale,8855189739,Pune,Yogendra Kshirsagar,4.14,inactive,103,342.4,UPI,2024-04-12,success,Auto,MH12AB1039,,12,
91,18,13,Baner,Hinjewadi,2024-02-04 18:00:00,2024-02-04 18:20:00,244.33,cancelled,41,Pratik Inamdar,7003344769,Delhi,Chetan Thorat,4.16,active,104,71.63,UPI,2024-04-13,success,Sedan,MH12AB1040,0 days 00:20:00,18,0 days 00:20:00
92,59,43,Kothrud,Shivajinagar,2024-02-04 19:00:00,2024-02-04 19:20:00,445.22,completed,42,Lalit Bhadane,8035196507,Delhi,Gajanan Sathe,3.98,active,105,477.12,UPI,2024-04-14,processing,SUV,MH12AB1041,0 days 00:20:00,19,0 days 00:20:00
93,67,27,Wakad,Shivajinagar,2024-02-04 20:00:00,2024-02-04 20:20:00,436.03,completed,43,Umesh Pargaonkar,8679592528,Delhi,Qasim Pathan,4.04,active,106,449.01,Cash,2024-04-15,success,Sedan,MH12AB1042,0 days 00:20:00,20,0 days 00:20:00
94,46,8,Hinjewadi,Wakad,2024-02-04 21:00:00,2024-02-04 21:20:00,336.13,completed,44,Yogesh Jagtap,9609385266,Delhi,Sanjay Gaikwad,4.53,active,107,167.4,Card,2024-04-16,success,SUV,MH12AB1043,0 days 00:20:00,21,0 days 00:20:00
